dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,mape_count,total_samples,horizon,objective,mae,rmse,category
B012,0.31551178600292423,0.42060889964456166,1.7094017094017095,6,44.8057540277748,351,351,14,asymmetric,2.0225114487366938,2.6962108951574466,B
B037,0.3215294962391801,0.44072513360379395,2.849002849002849,10,36.28741617439563,351,351,14,asymmetric,2.0253610147715873,2.7761916535555224,B
B060,0.3143125141619285,0.398299733898087,2.2792022792022792,8,34.26009312679252,351,351,14,asymmetric,2.1357132372541296,2.7063956277690524,B
B009,0.29189589539391325,0.3774360127403667,2.2792022792022792,8,34.17929805200743,351,351,14,asymmetric,2.2337104701653874,2.8882995162980767,B
B082,0.2878201368162476,0.35864299935075733,1.4245014245014245,5,33.58236940174803,351,351,14,asymmetric,2.2451610672446893,2.7976197499212923,B
B049,0.3610671308864377,0.47908733975254625,0.8547008547008548,3,56.41825571678131,351,351,14,asymmetric,2.285729814329529,3.0328548972369167,B
B065,0.3215622281161378,0.3950940348053198,3.418803418803419,12,37.55916385795491,351,351,14,asymmetric,2.351710084256769,2.8894768870235215,B
B002,0.3508450843242064,0.44699705788815497,1.1396011396011396,4,64.11037672720245,350,351,14,asymmetric,2.423929713635899,3.0882275366916687,B
B020,0.3333648330231045,0.4208040035888254,0.8547008547008548,3,37.768682940723295,351,351,14,asymmetric,2.5121082146612856,3.171015924479895,B
B071,0.2664988640390411,0.34982200111199724,1.4245014245014245,5,34.04451768658883,351,351,14,asymmetric,2.5746371736649243,3.3796193896603497,B
B070,0.39130842408743605,0.49587939315970925,1.4245014245014245,5,52.96548378111024,351,351,14,asymmetric,2.5964596002838705,3.2903222412221163,B
B096,0.3340338981392598,0.4054414551454732,1.7094017094017095,6,51.96316766087092,351,351,14,asymmetric,2.6313496534332006,3.193862175148813,B
B080,0.4313349732688595,0.5453575966792409,1.7094017094017095,6,51.99427041879904,351,351,14,asymmetric,2.637164822321859,3.3342945939420257,B
B084,0.3271275712391986,0.38965284266133976,1.7094017094017095,6,42.212364958677306,351,351,14,asymmetric,2.6384562797098896,3.1427555486445953,B
B077,0.39017828842965546,0.47954040106650475,3.133903133903134,11,41.976162135164586,351,351,14,asymmetric,2.6489882089113075,3.2556831217706006,B
B017,0.2789546344134209,0.3437200593778659,0.8547008547008548,3,32.35271484328441,351,351,14,asymmetric,2.7561671571103807,3.3960716977847265,B
B039,0.35502855604401384,0.4308134283315487,1.1396011396011396,4,47.45075460679284,351,351,14,asymmetric,2.800780831013887,3.398639267948884,B
B075,0.395268536173049,0.49006955135131663,2.2792022792022792,8,51.532901478752,346,351,14,asymmetric,2.8062939947100802,3.4793541936395473,B
B088,0.45060066998643106,0.550503402214703,3.9886039886039883,14,66.79145923243456,350,351,14,asymmetric,2.8345478043590875,3.462995760940353,B
B034,0.33654268203242416,0.4305539764146127,1.7094017094017095,6,35.01897605780373,351,351,14,asymmetric,2.8668450691650946,3.667682021309664,B
B061,0.33800744012921774,0.4355401161522806,1.7094017094017095,6,35.76262731021003,351,351,14,asymmetric,2.875470701498131,3.705193124873817,B
B010,0.28729572601482894,0.3612309007342252,0.8547008547008548,3,30.21034817904173,351,351,14,asymmetric,2.887690374302896,3.630833668918366,B
B046,0.3373645989813484,0.42992093301441137,0.8547008547008548,3,40.83432332831552,351,351,14,asymmetric,2.9978352826861125,3.820294558609541,B
